No;1 Product trial run;2 Intermittent Product Usage;3 Supplier Engagement;4 Transactional Provider Relations;5 Multi-Products Solutions Utilization;6 Renewed Collaboration with provider;7 Long-Term Provider Partnership;8 Continuous Enhancement Collaboration;9 Solution-Oriented Provider Partnership;10 Enhanced Business Performance;11 Dependable Services;12 Confidently Recommend Provider;13 Consultative Partnership;14 Critical Reliance on Provider;15 Actively Promote Provider;16 Strategic Partnership
1;1;1;7;1;7;7;7;7;4;5;5;7;4;2;3;1
2;5;4;4;6;6;6;6;6;6;6;6;6;6;6;6;6
3;4;4;4;5;6;6;6;6;6;6;6;6;6;6;6;6
4;1;1;1;1;7;7;7;7;7;7;7;7;7;6;7;7
5;2;1;1;6;6;7;7;6;7;6;6;6;6;5;5;5
6;4;5;4;4;6;6;5;6;5;6;7;6;7;7;6;6
7;1;1;1;1;6;6;6;4;6;6;6;6;6;4;5;4
8;1;1;4;4;7;6;7;7;7;7;7;7;7;7;7;7
9;3;1;4;4;6;6;5;3;6;4;4;1;5;4;1;1
10;1;5;6;5;5;6;6;5;7;7;7;7;7;5;6;6
11;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6
12;1;1;1;1;7;6;7;6;6;6;6;6;6;6;6;6
13;1;1;1;1;7;7;7;7;6;7;7;7;7;6;7;6
14;1;1;1;1;6;6;6;6;6;6;6;6;6;6;5;6
15;1;2;2;2;7;7;7;7;7;7;7;7;7;7;7;7
16;1;1;1;1;7;7;7;7;7;7;7;7;5;7;6;5
17;3;3;7;4;7;7;7;7;7;7;7;7;7;7;7;7
18;2;1;1;6;7;7;7;7;6;7;6;6;6;5;5;5
19;1;1;3;3;7;6;7;7;7;7;7;7;6;6;7;6
20;2;1;2;3;7;7;7;7;7;7;6;6;6;6;6;6
21;1;1;3;4;7;6;6;7;6;7;7;7;6;6;6;6
22;3;1;1;2;6;7;7;7;7;7;7;7;6;6;6;7
23;1;1;1;1;7;7;7;7;7;7;6;6;6;6;6;6
24;3;2;3;6;6;6;7;6;6;6;6;5;6;6;4;4
25;1;1;1;3;7;6;6;6;6;6;7;6;5;4;6;6
26;1;1;4;4;6;7;7;7;7;5;5;6;5;5;6;6
27;1;1;1;2;5;6;6;6;6;6;6;7;6;6;6;6
28;1;1;2;2;3;4;7;6;4;6;7;7;7;6;7;6
29;1;1;1;1;7;7;7;7;7;7;7;7;7;7;7;7
30;2;2;3;3;5;7;7;7;7;7;7;7;7;7;7;7
31;1;1;1;1;7;7;7;7;7;7;6;7;7;7;6;6
32;1;1;7;1;7;7;7;7;7;7;7;7;7;5;7;7
33;1;4;6;1;6;6;6;6;6;6;5;5;4;2;6;7
34;1;6;1;1;6;7;7;7;7;7;7;7;7;7;7;7
35;1;1;1;1;6;6;6;6;5;6;6;6;6;6;7;7
36;1;4;2;3;5;6;6;5;6;5;5;5;5;3;4;4
37;1;1;1;3;6;6;7;6;5;6;6;5;5;6;5;6
38;1;1;2;2;7;7;7;5;7;7;7;7;6;3;3;3
39;1;1;1;1;7;7;7;7;7;7;7;5;6;7;5;6
40;1;1;1;1;7;7;7;7;7;7;7;7;7;7;7;7
41;5;6;7;6;7;5;7;7;5;6;6;6;5;6;6;5
42;2;2;2;2;6;6;6;6;6;6;6;6;6;5;5;5
43;1;1;1;6;6;7;6;7;7;7;7;7;6;7;7;7
44;1;2;7;3;1;6;7;7;6;6;6;6;6;6;6;6
45;4;3;4;4;6;6;6;6;6;6;6;6;6;6;4;6
